12	11	E	-1.0434531941271517E7	198
emissionprobs	9	3	H3k09meAlnRep1	1	0.021236503824173202
emissionprobs	9	4	H3k27acAlnRep1	0	0.9941196202225052
emissionprobs	9	4	H3k27acAlnRep1	1	0.005880379777494801
emissionprobs	9	5	H3k36me3AlnRep1	0	0.9900299041626693
emissionprobs	9	5	H3k36me3AlnRep1	1	0.00997009583733069
emissionprobs	9	6	H3k4me2AlnRep1	0	0.9716248038424052
emissionprobs	9	6	H3k4me2AlnRep1	1	0.028375196157594706
emissionprobs	9	7	H3k4me3AlnRep1	0	0.9934762808055655
emissionprobs	9	7	H3k4me3AlnRep1	1	0.0065237191944345916
emissionprobs	9	8	H3k79me2AlnRep1	0	0.974354017099241
emissionprobs	9	8	H3k79me2AlnRep1	1	0.025645982900759118
emissionprobs	9	9	H3k9acAlnRep1	0	0.9548313234595984
emissionprobs	9	9	H3k9acAlnRep1	1	0.045168676540401576
emissionprobs	9	10	Pol2bAlnRep1	0	0.8515650246265587
emissionprobs	9	10	Pol2bAlnRep1	1	0.14843497537344139
emissionprobs	10	0	CtcfAlnRep1	0	0.9537718353924913
emissionprobs	10	0	CtcfAlnRep1	1	0.046228164607508726
emissionprobs	10	1	EzhAlnRep1	0	0.9772581953056743
emissionprobs	10	1	EzhAlnRep1	1	0.02274180469432567
emissionprobs	10	2	H3k04meAlnRep1	0	0.9979308461192171
emissionprobs	10	2	H3k04meAlnRep1	1	0.002069153880782891
emissionprobs	10	3	H3k09meAlnRep1	0	0.7637047353933519
emissionprobs	10	3	H3k09meAlnRep1	1	0.2362952646066481
emissionprobs	10	4	H3k27acAlnRep1	0	0.9975725682398221
emissionprobs	10	4	H3k27acAlnRep1	1	0.0024274317601779465
emissionprobs	10	5	H3k36me3AlnRep1	0	0.9943775919884774
emissionprobs	10	5	H3k36me3AlnRep1	1	0.005622408011522574
emissionprobs	10	6	H3k4me2AlnRep1	0	0.9983672240411764
emissionprobs	10	6	H3k4me2AlnRep1	1	0.0016327759588236732
emissionprobs	10	7	H3k4me3AlnRep1	0	0.9916428847594216
emissionprobs	10	7	H3k4me3AlnRep1	1	0.008357115240578297
emissionprobs	10	8	H3k79me2AlnRep1	0	0.9746429987012583
emissionprobs	10	8	H3k79me2AlnRep1	1	0.025357001298741768
emissionprobs	10	9	H3k9acAlnRep1	0	0.9840589068407478
emissionprobs	10	9	H3k9acAlnRep1	1	0.015941093159252157
emissionprobs	10	10	Pol2bAlnRep1	0	0.8974906523789726
emissionprobs	10	10	Pol2bAlnRep1	1	0.1025093476210274
emissionprobs	11	0	CtcfAlnRep1	0	0.9720374291400938
emissionprobs	11	0	CtcfAlnRep1	1	0.027962570859906166
emissionprobs	11	1	EzhAlnRep1	0	0.6130436691865755
emissionprobs	11	1	EzhAlnRep1	1	0.3869563308134245
emissionprobs	11	2	H3k04meAlnRep1	0	0.9983098073596621
emissionprobs	11	2	H3k04meAlnRep1	1	0.0016901926403378319
emissionprobs	11	3	H3k09meAlnRep1	0	0.9891540327268998
emissionprobs	11	3	H3k09meAlnRep1	1	0.010845967273100113
emissionprobs	11	4	H3k27acAlnRep1	0	0.9996030517654433
emissionprobs	11	4	H3k27acAlnRep1	1	3.9694823455673856E-4
emissionprobs	11	5	H3k36me3AlnRep1	0	0.9998823282843046
emissionprobs	11	5	H3k36me3AlnRep1	1	1.1767171569541654E-4
emissionprobs	11	6	H3k4me2AlnRep1	0	0.9981686586320742
emissionprobs	11	6	H3k4me2AlnRep1	1	0.0018313413679257571
emissionprobs	11	7	H3k4me3AlnRep1	0	0.9987391888033035
emissionprobs	11	7	H3k4me3AlnRep1	1	0.0012608111966964733
emissionprobs	11	8	H3k79me2AlnRep1	0	0.9920109522862824
emissionprobs	11	8	H3k79me2AlnRep1	1	0.007989047713717527
emissionprobs	11	9	H3k9acAlnRep1	0	0.9924216981885675
emissionprobs	11	9	H3k9acAlnRep1	1	0.007578301811432451
emissionprobs	11	10	Pol2bAlnRep1	0	0.9499958197556571
emissionprobs	11	10	Pol2bAlnRep1	1	0.05000418024434295
emissionprobs	12	0	CtcfAlnRep1	0	0.9673630489073898
emissionprobs	12	0	CtcfAlnRep1	1	0.0326369510926102
emissionprobs	12	1	EzhAlnRep1	0	0.9982026489762941
emissionprobs	12	1	EzhAlnRep1	1	0.0017973510237059237
emissionprobs	12	2	H3k04meAlnRep1	0	0.992881491883814
emissionprobs	12	2	H3k04meAlnRep1	1	0.007118508116186013
emissionprobs	12	3	H3k09meAlnRep1	0	0.9920567302781034
emissionprobs	12	3	H3k09meAlnRep1	1	0.007943269721896616
emissionprobs	12	4	H3k27acAlnRep1	0	0.9959471464208688
emissionprobs	12	4	H3k27acAlnRep1	1	0.004052853579131155
emissionprobs	12	5	H3k36me3AlnRep1	0	0.6104830261460023
emissionprobs	12	5	H3k36me3AlnRep1	1	0.3895169738539977
emissionprobs	12	6	H3k4me2AlnRep1	0	0.9986910462398833
emissionprobs	12	6	H3k4me2AlnRep1	1	0.0013089537601167708
emissionprobs	12	7	H3k4me3AlnRep1	0	0.9981901505113978
emissionprobs	12	7	H3k4me3AlnRep1	1	0.0018098494886022187
emissionprobs	12	8	H3k79me2AlnRep1	0	0.9432913573571341
emissionprobs	12	8	H3k79me2AlnRep1	1	0.056708642642865945
emissionprobs	12	9	H3k9acAlnRep1	0	0.9863687080932347
emissionprobs	12	9	H3k9acAlnRep1	1	0.013631291906765186
emissionprobs	12	10	Pol2bAlnRep1	0	0.9255133454581087
emissionprobs	12	10	Pol2bAlnRep1	1	0.07448665454189128
